,categoryId,channelId,channelTitle,commentCount,dislikeCount,likeCount,publishedAt,tags,title,videoId,viewCount
156,25,UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg,,10338.0,34478.0,2016-08-31T22:03:49.000Z,"['News', 'bloomberg', 'wall street', 'brexit', 'markets', 'finance', 'investing', 'business', 'donald trump', 'livestream', 'president', 'america', 'politics', 'senate', 'congress', 'davos', 'interest rates', 'janet yellen', 'GDP', 'Stock market', 'equities', 'stocks', 'bitcoin', 'cryptocurency', 'federal reserve']",Bloomberg Global News,Ga3maNZ0x0w,19252418.0
157,20,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,12038.0,8662.0,143698.0,2018-06-11T12:08:03.000Z,"['clash of clans', 'COC', 'Clash of Clans Gameplay', 'Clash of Clans Strategy', 'Clash of Clans Animation', 'Clash of Clans Commercial', 'Clash of Clans Attacks', 'Clash of Clans Town Hall', 'Hog Rider', 'PEKKA', 'Clan Wars', 'town hall 12', 'electro dragon', 'siege machines', 'battle blimp', 'wall wrecker', 'clash of clans new update']",Town Hall 12 Update is Here! (Clash of Clans Official),rAH8qm5oQHg,18104563.0
158,28,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,9211.0,6618.0,169139.0,2012-08-30T17:14:40.000Z,"['secure technology systems', 'English', 'US', 'tedx talk', 'ted talks', 'tedx', 'Komposite', 'data security', 'Pablos Holman', 'hacking', 'ted', 'TEDxMidwest', 'tedx talks', 'ted x', 'Intellectual Ventures', 'ted talk', 'hacker', 'Inventor', 'futurist']",Top hacker shows us how it's done | Pablos Holman | TEDxMidwest,hqKafI7Amd8,17865811.0
160,24,UCkEBDbzLyH-LbB2FgMoSMaQ,Animal Planet,4455.0,5436.0,34756.0,2015-10-31T16:00:03.000Z,"['monsters inside me', 'parasitic infections', 'strange diseases', 'parasites in body', 'unusual illnesses', 'littorina scutulata', 'sea snails', 'snail in knee', 'monsters inside me tv show', 'monsters inside me full episodes', 'Animal Planet (TV Network)']",Boy Returns from the Beach with a Snail INSIDE HIS KNEE,cc38YJoMI90,17585500.0
159,23,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,8293.0,7100.0,222270.0,2016-06-23T07:30:01.000Z,"['jimmy', 'jimmy kimmel', 'jimmy kimmel live', 'late night', 'talk show', 'funny', 'comedic', 'comedy', 'clip', 'comedian', 'mean tweets', 'guillermo', 'sky slide', 'skyslide', 'scary', 'see through', 'glass', 'plastic', 'new', 'opening', 'building', 'skyscraper', 'heights', 'los angeles', 'downtown']",Guillermo Tries the Terrifying Skyslide,X9BUkTyInzo,17583071.0
162,24,UCv2n_Zi3yOjmiu4FvzXWTAQ,Play Doh DIY Learning Colors with Peppa Pig,1750.0,9401.0,22465.0,2016-09-04T14:26:37.000Z,"['peppa pig', 'peppa', 'pig', 'Peppa Pig The Library', 'Peppa Pig The Camper Van', 'Peppa Pig Camping Holiday', 'peppa pig english', 'peppa pig series 3']",Peppa Pig The Library The Camper Van Camping Holiday Series 3 Episode 4 5 6,drSJzlQs73k,17513661.0
161,24,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,51135.0,21309.0,352777.0,2017-01-18T17:37:27.000Z,"['Mind Field', 'Michael Stevens', 'Vsauce', 'YouTube Red', 'YouTube Red Original Series', 'Jake Roper', 'Dominic Monaghan', 'Dianna Cowern', 'Rosanna Pansino', 'Ethan Klein', 'Tim DeLaGhetto', 'GloZell']",Isolation - Mind Field (Ep 1),iqKdEhx-dD4,17477777.0
163,26,UCAuUUnT6oDeKwE6v1NGQxug,TED,4319.0,4845.0,245163.0,2014-06-27T15:10:18.000Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'Julian Treasure', 'culture', 'sound', 'speech', 'TEDGlobal']",How to speak so that people want to listen | Julian Treasure,eIho2S0ZahI,16912198.0
164,29,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,11595.0,12327.0,85109.0,2016-07-06T17:43:06.000Z,"['TEDxTalks', 'English', 'Canada', 'Life', 'Aging', 'Behavior', 'Choice', 'Connection', 'Family', 'Freedom', 'Health', 'LGBT', 'Love', 'Personal growth', 'Relationships', 'Romance', 'Self-help', 'Senses', 'Sex']","No Sex Marriage – Masturbation, Loneliness, Cheating and Shame | Maureen McGrath | TEDxStanleyPark",LVgzOyHVcj4,15911436.0
166,28,UCiDJtJKMICpb9B1qf7qjEOA,Tested,22461.0,12198.0,280908.0,2018-06-07T14:01:12.000Z,"['tested', 'testedcom', 'nerf', 'blaster', 'nerf rival', 'hack', 'upgrade', 'adam savage', 'mythbusters', 'one day builds', ""adam savage's one day builds"", 'cave', 'mod']",Adam Savage's One Day Builds: 1000 Shot NERF Blaster!,G7MDrUG4cws,15173640.0
